name,osm_id,geometry,lat,lon,index_right,subarea
Bidarte,W185205681,"POLYGON ((-2.9511558 43.2723253, -2.9511447 43.2723246, -2.9511447 43.2723042, -2.9507175 43.2723008, -2.9507212 43.2723511, -2.9506363 43.2723531, -2.9506718 43.2723226, -2.9506736 43.2722846, -2.9506503 43.2722696, -2.9506569 43.2721902, -2.9506326 43.2721725, -2.9504274 43.2721698, -2.9503994 43.2721868, -2.9504013 43.2722608, -2.9503584 43.2722615, -2.9503602 43.2723375, -2.9504004 43.2723382, -2.9504013 43.2723966, -2.9504265 43.2723966, -2.9504237 43.2724747, -2.9507674 43.272476, -2.9507687 43.2724992, -2.9508656 43.2725001, -2.9508801 43.272515, -2.9509302 43.2725155, -2.9509467 43.2724992, -2.9510331 43.2724992, -2.9510373 43.2724404, -2.951153 43.2724391, -2.9511558 43.2723253))",43.27236008339459,-2.9507221366997642,0,Deusto
Mercado Santutxu,N5056328910,POINT (-2.9149326 43.2541211),43.2541211,-2.9149326,3,Begona
Centro Municipal de Txurdinaga,W235157481,"POLYGON ((-2.9073576 43.2566313, -2.906988 43.2565864, -2.9069615 43.256699, -2.9065549 43.2566479, -2.9065293 43.2567586, -2.9073068 43.256853, -2.9073576 43.2566313))",43.25672274935615,-2.9070052667191253,2,Otxarkoaga-Txurdinaga
Centro Mpal. de Distrito Begona,N9607391207,POINT (-2.9080084 43.2500267),43.2500267,-2.9080084,3,Begona
Centro Civico Otxarkoaga,W164512079,"POLYGON ((-2.8990602 43.2579872, -2.8990377 43.2579155, -2.8990001 43.2578413, -2.8989747 43.2577606, -2.8989532 43.2576864, -2.8988982 43.2576029, -2.898866 43.2575443, -2.8988084 43.2574715, -2.8987279 43.2574285, -2.8986313 43.2574129, -2.8985884 43.2574988, -2.8986944 43.2575483, -2.8987655 43.257616, -2.8988191 43.2577215, -2.8988768 43.2578999, -2.8985226 43.2579701, -2.8984758 43.2579794, -2.8985603 43.258189, -2.8985925 43.2581811, -2.8990602 43.2580966, -2.8990602 43.2579872))",43.25788389565486,-2.8988002094288414,2,Otxarkoaga-Txurdinaga
Polideportivo Miribilla,W376396126,"POLYGON ((-2.9263745 43.2527693, -2.9262048 43.2527099, -2.9254868 43.2524587, -2.9255082 43.252781, -2.92627 43.2529373, -2.9263745 43.2527693))",43.25272399169551,-2.925878746109151,4,Ibaiondo
Polideportivo Abusu-La Pena,W397099000,"POLYGON ((-2.9251897 43.2411551, -2.924795 43.2408547, -2.9242274 43.2405963, -2.9241877 43.2405722, -2.9241679 43.2405644, -2.9240689 43.2405468, -2.9239771 43.2408757, -2.9241654 43.2409661, -2.9245237 43.2410614, -2.9247518 43.2409994, -2.9247694 43.2410464, -2.9250358 43.2412572, -2.9251897 43.2411551))",43.24088752072248,-2.9244925413981497,4,Ibaiondo
Polideportivo San Ignacio,W290069950,"POLYGON ((-2.9613675 43.2808961, -2.961307 43.2807941, -2.9610085 43.2802597, -2.9609439 43.2801644, -2.9607784 43.2798564, -2.9607296 43.2797786, -2.9605639 43.2794705, -2.9603588 43.2795289, -2.9601537 43.2795873, -2.9601348 43.2795931, -2.9597815 43.2797011, -2.9594847 43.2797919, -2.9590087 43.2799374, -2.9592533 43.280377, -2.9594375 43.2807081, -2.9597981 43.2813563, -2.9604603 43.2811604, -2.9612077 43.2809439, -2.9613675 43.2808961))",43.280414549918596,-2.9601837787502543,0,Deusto
Polideportivo Zorroza,W151883539,"POLYGON ((-2.9766192 43.2784747, -2.9765346 43.2781185, -2.9759862 43.2779396, -2.9758896 43.2779787, -2.975734 43.2780334, -2.9755194 43.2780021, -2.9753961 43.2778811, -2.9754068 43.2778069, -2.9753532 43.2777444, -2.9745518 43.2775019, -2.973995 43.2773386, -2.9736855 43.2778979, -2.9736419 43.2780099, -2.9737653 43.2780529, -2.9735684 43.2784057, -2.9734863 43.2785528, -2.9736178 43.2786323, -2.9738586 43.278708, -2.9738297 43.2787559, -2.9740067 43.2788496, -2.9747416 43.2790839, -2.9745807 43.2793612, -2.9750742 43.2797322, -2.9753424 43.2799939, -2.975527 43.2797469, -2.9758091 43.2797635, -2.9765172 43.2787637, -2.9766192 43.2784747))",43.27856405785909,-2.9750882996142076,7,Basurtu-Zorrotza
Polideportivo Deusto,W185205688,"POLYGON ((-2.9481937 43.2686601, -2.9481552 43.2685322, -2.9480804 43.2685473, -2.9475258 43.268635, -2.947568 43.2687629, -2.9481937 43.2686601))",43.26864835487923,-2.947859768119749,0,Deusto
