name,building_type_name,osm_id,geometry,lat,lon,index_right,subarea
building_4353,building_house,W1259637233,"POLYGON ((-2.9573266 43.2554791, -2.9572951 43.2555586, -2.9572101 43.2555407, -2.9572417 43.2554612, -2.957281 43.2554695, -2.9573266 43.2554791))",43.2555099101096,-2.957268369204633,7.0,Basurtu-Zorrotza
building_4354,building_house,W1259637234,"POLYGON ((-2.9577185 43.2552579, -2.9576594 43.2553318, -2.9575795 43.2552979, -2.9576331 43.2552307, -2.9576386 43.2552239, -2.9577185 43.2552579))",43.25527785880167,-2.9576489866319915,7.0,Basurtu-Zorrotza
building_4355,building_house,W1259637235,"POLYGON ((-2.9576331 43.2552307, -2.9575795 43.2552979, -2.9575095 43.255271, -2.9575668 43.2551866, -2.9576247 43.2552073, -2.9576127 43.2552217, -2.9576331 43.2552307))",43.25524317393798,-2.9575731089758723,7.0,Basurtu-Zorrotza
building_4356,building_house,W1259637236,"POLYGON ((-2.9575902 43.2553169, -2.9575144 43.2554035, -2.9574564 43.2553765, -2.9575322 43.25529, -2.9575902 43.2553169))",43.25534673458507,-2.9575232971898884,7.0,Basurtu-Zorrotza
building_4357,building_house,W1259637237,"POLYGON ((-2.9575144 43.2554035, -2.95747 43.2554573, -2.9573844 43.2554245, -2.9574269 43.2553671, -2.9574564 43.2553765, -2.9575144 43.2554035))",43.255412201923036,-2.9574491281707354,7.0,Basurtu-Zorrotza
building_4358,building_house,W1259637239,"POLYGON ((-2.9572744 43.2552474, -2.9572236 43.255322, -2.9571202 43.2552846, -2.9571636 43.2552209, -2.9571929 43.2552315, -2.9572003 43.2552206, -2.9572744 43.2552474))",43.25526795646161,-2.95719796662313,7.0,Basurtu-Zorrotza
building_4359,building_house,W1259637240,"POLYGON ((-2.9571188 43.2554043, -2.9570609 43.2554559, -2.9570245 43.2554335, -2.9570029 43.2554456, -2.9569358 43.2553926, -2.9570035 43.2553428, -2.9570436 43.2553702, -2.9570553 43.2553639, -2.9571188 43.2554043))",43.25540061629339,-2.957026723964106,7.0,Basurtu-Zorrotza
building_4360,building_house,W1259637241,"POLYGON ((-2.9568048 43.2552877, -2.956759 43.2553561, -2.9566077 43.2553023, -2.9566127 43.2552949, -2.9566534 43.255234, -2.9568048 43.2552877))",43.255295033499024,-2.956706256463103,7.0,Basurtu-Zorrotza
building_4361,building_house,W1259637242,"POLYGON ((-2.9573122 43.2559097, -2.9572983 43.2559328, -2.9572624 43.2559633, -2.9572328 43.2559538, -2.9571647 43.2559321, -2.9571717 43.2559204, -2.9571998 43.2558738, -2.9573122 43.2559097))",43.25591949840353,-2.9572367689097208,7.0,Basurtu-Zorrotza
building_4362,building_house,W1259637243,"POLYGON ((-2.9572328 43.2559538, -2.957205 43.2559852, -2.9571251 43.2559426, -2.957139 43.2559109, -2.9571717 43.2559204, -2.9571647 43.2559321, -2.9572328 43.2559538))",43.25594865804894,-2.9571753513669123,7.0,Basurtu-Zorrotza
building_4363,building_house,W1259637244,"POLYGON ((-2.9570843 43.2559035, -2.9571578 43.255986, -2.9571599 43.2559953, -2.9570639 43.2560157, -2.9569995 43.2559422, -2.9570843 43.2559035))",43.25596335898587,-2.9570797026087243,7.0,Basurtu-Zorrotza
building_4364,building_house,W1259637245,"POLYGON ((-2.9569834 43.2559457, -2.957036 43.2560098, -2.9569625 43.2560442, -2.9569421 43.2560223, -2.9569341 43.2560254, -2.956896 43.2559852, -2.9569834 43.2559457))",43.25599552915541,-2.9569678344749084,7.0,Basurtu-Zorrotza
building_4365,building_house,W1259637246,"POLYGON ((-2.9568863 43.2559844, -2.956947 43.2560489, -2.9568622 43.2560774, -2.9568069 43.2560188, -2.9568863 43.2559844))",43.256032118357545,-2.956876243916666,7.0,Basurtu-Zorrotza
building_4366,building_house,W1259637247,"POLYGON ((-2.9568252 43.2560891, -2.9567538 43.2561082, -2.9567098 43.2560641, -2.9567758 43.2560303, -2.9568252 43.2560891))",43.25607202498538,-2.9567672001324996,7.0,Basurtu-Zorrotza
building_4367,building_house,W1259637248,"POLYGON ((-2.9570088 43.2554628, -2.9569318 43.2555247, -2.9568572 43.2554762, -2.9569274 43.2554156, -2.9570088 43.2554628))",43.25546983274364,-2.956931871348048,7.0,Basurtu-Zorrotza
building_4368,building_house,W1259642814,"POLYGON ((-2.9566072 43.2552641, -2.9566069 43.2552948, -2.9565943 43.2552947, -2.9565937 43.2553559, -2.9564633 43.2553552, -2.9564641 43.2552769, -2.9565475 43.2552773, -2.9565477 43.2552638, -2.9566072 43.2552641))",43.25531253320541,-2.956533751950322,7.0,Basurtu-Zorrotza
building_4369,building_house,W1259642815,"POLYGON ((-2.9564641 43.2552769, -2.9564633 43.2553552, -2.9564618 43.2553693, -2.9563715 43.255364, -2.9563707 43.2553415, -2.9563992 43.2552722, -2.9564641 43.2552769))",43.25532329393843,-2.9564219716274946,7.0,Basurtu-Zorrotza
building_4370,building_house,W1259642816,"POLYGON ((-2.9564239 43.2552189, -2.9563992 43.2552722, -2.9563707 43.2553415, -2.9562666 43.2553136, -2.9562618 43.2553172, -2.9562702 43.2552871, -2.9562626 43.2552852, -2.9562983 43.2551881, -2.9564239 43.2552189))",43.25526351122569,-2.956337735676219,7.0,Basurtu-Zorrotza
building_4371,building_house,W1259642817,"POLYGON ((-2.9562666 43.2553136, -2.9562726 43.2553796, -2.956081 43.2553889, -2.9560735 43.2553065, -2.9561347 43.2553035, -2.9561362 43.25532, -2.9562666 43.2553136))",43.255348460318494,-2.956168720542476,7.0,Basurtu-Zorrotza
building_4372,building_yes,W1259642818,"POLYGON ((-2.9566261 43.2555752, -2.9566561 43.2556222, -2.9566643 43.255635, -2.9565407 43.255686, -2.9564968 43.2556214, -2.9565118 43.255616, -2.9566261 43.2555752))",43.2556296748891,-2.956580961295346,7.0,Basurtu-Zorrotza
building_4373,building_yes,W1259642819,"POLYGON ((-2.9567114 43.2555426, -2.9567391 43.2555936, -2.9566561 43.2556222, -2.9566261 43.2555752, -2.9567114 43.2555426))",43.25558307834241,-2.9566834383709937,7.0,Basurtu-Zorrotza
building_4374,building_yes,W1259642820,"POLYGON ((-2.9565407 43.255686, -2.9564886 43.2557079, -2.9564187 43.2555965, -2.956483 43.2555805, -2.9565118 43.255616, -2.9564968 43.2556214, -2.9565407 43.255686))",43.25564080600436,-2.9564808971392704,7.0,Basurtu-Zorrotza
building_4375,building_house,W1259642823,"POLYGON ((-2.957194 43.2558289, -2.9571492 43.2559034, -2.9570563 43.2558738, -2.957101 43.2557993, -2.9571769 43.2558235, -2.957194 43.2558289))",43.25585135346779,-2.957125123424164,7.0,Basurtu-Zorrotza
building_4376,building_house,W1259642824,"POLYGON ((-2.9572204 43.2557576, -2.9571769 43.2558235, -2.9571294 43.2558068, -2.9571326 43.2557967, -2.957079 43.2557772, -2.957092 43.2557458, -2.9571172 43.2557529, -2.9571367 43.2557215, -2.9572204 43.2557576))",43.25577154962639,-2.9571521787762984,7.0,Basurtu-Zorrotza
building_4377,building_house,W1259642825,"POLYGON ((-2.9572395 43.2553415, -2.957182 43.2554102, -2.9570937 43.255371, -2.9571512 43.2553023, -2.9572395 43.2553415))",43.25535625,-2.9571666000000003,7.0,Basurtu-Zorrotza
building_4378,building_house,W1259642826,"POLYGON ((-2.9571512 43.2553023, -2.9570937 43.255371, -2.9570216 43.2553378, -2.9570756 43.2552709, -2.9571512 43.2553023))",43.25532048359645,-2.9570858408234684,7.0,Basurtu-Zorrotza
building_4379,building_apartments,W1261882344,"POLYGON ((-2.941866 43.2599516, -2.9419097 43.25994, -2.9419256 43.2598821, -2.9419117 43.2598763, -2.9419356 43.2598068, -2.9419177 43.2598039, -2.9419435 43.2597402, -2.9419237 43.2597301, -2.9419575 43.2596606, -2.9416891 43.2595998, -2.9416811 43.2596215, -2.9415141 43.2595882, -2.9414087 43.2598604, -2.941866 43.2599516))",43.25976859828773,-2.9416966292500764,5.0,Abando
building_4380,building_apartments,W1261882345,"POLYGON ((-2.9419575 43.2596606, -2.9419734 43.2594449, -2.9417109 43.2594289, -2.9416891 43.2595998, -2.9419575 43.2596606))",43.25953488186746,-2.941837624263486,5.0,Abando
building_4381,building_apartments,W1261882346,"POLYGON ((-2.9419734 43.2594449, -2.9419972 43.259261, -2.9417935 43.2592436, -2.9417427 43.2592393, -2.9417109 43.2594289, -2.9419734 43.2594449))",43.259343890761066,-2.941855268705516,5.0,Abando
building_4382,building_apartments,W1261882347,"POLYGON ((-2.9419972 43.259261, -2.9420171 43.2591292, -2.942041 43.2591307, -2.9420589 43.2590452, -2.9417567 43.2589844, -2.941699 43.2591495, -2.9418044 43.2591756, -2.9417935 43.2592436, -2.9419972 43.259261))",43.259120882853416,-2.941881880766772,5.0,Abando
building_4383,building_apartments,W1261882348,"POLYGON ((-2.941699 43.2591495, -2.941693 43.2591654, -2.9415638 43.2591379, -2.9415797 43.2590974, -2.9414982 43.2590814, -2.941505 43.2590625, -2.9415201 43.2590206, -2.9415658 43.2590322, -2.9415737 43.2589569, -2.9417567 43.2589844, -2.941699 43.2591495))",43.259055909867044,-2.941636295539538,5.0,Abando
building_4384,building_apartments,W1261882349,"POLYGON ((-2.9415737 43.2589569, -2.9414147 43.2589149, -2.941357 43.2589236, -2.9413292 43.2590018, -2.9414525 43.2590235, -2.9414763 43.2590091, -2.9415658 43.2590322, -2.9415737 43.2589569))",43.258973812248755,-2.9414520891011566,5.0,Abando
building_4385,building_apartments,W1261882350,"POLYGON ((-2.9415638 43.2591379, -2.9415797 43.2590974, -2.9414982 43.2590814, -2.941505 43.2590625, -2.9414445 43.2590496, -2.9414525 43.2590235, -2.9413292 43.2590018, -2.9412437 43.2591727, -2.941532 43.2592219, -2.9415638 43.2591379))",43.25911929861818,-2.941411679406895,5.0,Abando
building_4386,building_apartments,W1261882351,"POLYGON ((-2.9412437 43.2591727, -2.9411821 43.259329, -2.9412007 43.2593326, -2.9415121 43.2593927, -2.9415837 43.2592364, -2.941532 43.2592219, -2.9412437 43.2591727))",43.25928137493542,-2.94138189502667,5.0,Abando
building_4387,building_apartments,W1261882352,"POLYGON ((-2.9415121 43.2593927, -2.9415658 43.2594087, -2.9415519 43.2594391, -2.941526 43.2594362, -2.9414843 43.2595259, -2.9415101 43.2595317, -2.9414884 43.2595826, -2.941134 43.2595049, -2.9412007 43.2593326, -2.9415121 43.2593927))",43.25945482754979,-2.941342263364005,5.0,Abando
building_4388,building_house,W1261989028,"POLYGON ((-2.956117 43.25551, -2.9561466 43.2555827, -2.9560043 43.2556132, -2.9559882 43.2555674, -2.9560043 43.2555387, -2.956117 43.25551))",43.255562982393315,-2.956064992901565,7.0,Basurtu-Zorrotza
building_4389,building_house,W1261989029,"POLYGON ((-2.9562292 43.2554077, -2.9562302 43.2554418, -2.9562304 43.2554503, -2.9561601 43.2554527, -2.9560868 43.2554552, -2.9560696 43.2554135, -2.9562292 43.2554077))",43.25543129962411,-2.9561540284325707,7.0,Basurtu-Zorrotza
building_4390,building_house,W1261989030,"POLYGON ((-2.9562508 43.2554418, -2.9562563 43.2555333, -2.9562674 43.2555616, -2.9563272 43.2555499, -2.9563216 43.2555261, -2.9563136 43.2555275, -2.9563093 43.2554992, -2.9563364 43.2554974, -2.9563481 43.2555427, -2.9563845 43.2555351, -2.9563912 43.2554611, -2.9563333 43.2554687, -2.9563327 43.2554391, -2.9562508 43.2554418))",43.25549592474479,-2.956312936970744,7.0,Basurtu-Zorrotza
building_4391,building_house,W1261989031,"POLYGON ((-2.9562508 43.2554418, -2.9562302 43.2554418, -2.9562304 43.2554503, -2.9561601 43.2554527, -2.9561614 43.2555082, -2.9562212 43.2555073, -2.9562317 43.2555679, -2.9562674 43.2555616, -2.9562563 43.2555333, -2.9562508 43.2554418))",43.255493634129294,-2.9562171839591227,7.0,Basurtu-Zorrotza
building_4392,building_house,W1261989032,"POLYGON ((-2.9563959 43.2556295, -2.9562852 43.2556818, -2.956242 43.2556333, -2.9562375 43.2556282, -2.9563481 43.2555759, -2.9563959 43.2556295))",43.255628852458834,-2.956316675666275,7.0,Basurtu-Zorrotza
building_4393,building_yes,W1261989033,"POLYGON ((-2.9562852 43.2556818, -2.9561472 43.2557519, -2.9561177 43.2556962, -2.956242 43.2556333, -2.9562852 43.2556818))",43.25569127776337,-2.956198305182957,7.0,Basurtu-Zorrotza
building_4394,building_house,W1261989034,"POLYGON ((-2.9559892 43.255754, -2.9559726 43.25585, -2.9558819 43.2558417, -2.9558985 43.2557457, -2.9559892 43.255754))",43.25579784999999,-2.9559355499999995,7.0,Basurtu-Zorrotza
building_4395,building_house,W1261989036,"POLYGON ((-2.9568429 43.2554838, -2.9567512 43.2555737, -2.9566682 43.2554486, -2.956757 43.2554198, -2.9568429 43.2554838))",43.25548658657486,-2.956754682139046,7.0,Basurtu-Zorrotza
building_4396,building_terrace,W1261989040,"POLYGON ((-2.956916 43.2557846, -2.956984 43.2558403, -2.9568303 43.2559388, -2.9567648 43.2558795, -2.956916 43.2557846))",43.25586108347844,-2.956873659052512,7.0,Basurtu-Zorrotza
building_4397,building_yes,W1261989041,"POLYGON ((-2.9567606 43.255896, -2.9568219 43.2559519, -2.9567286 43.2560062, -2.9567466 43.2560226, -2.9566943 43.256053, -2.956615 43.2559807, -2.9567606 43.255896))",43.25597233656057,-2.9567177872629746,7.0,Basurtu-Zorrotza
building_4398,building_house,W1261989042,"POLYGON ((-2.9560012 43.2561976, -2.9559911 43.2562759, -2.9558609 43.2562876, -2.9558584 43.2562007, -2.9559154 43.2561995, -2.9560012 43.2561976))",43.25623987214344,-2.9559266490293292,7.0,Basurtu-Zorrotza
building_4399,building_house,W1261989043,"POLYGON ((-2.9559978 43.2560955, -2.9560012 43.2561976, -2.9559154 43.2561995, -2.955902 43.2561089, -2.9559978 43.2560955))",43.256149339167244,-2.9559548466597976,7.0,Basurtu-Zorrotza
building_4400,building_yes,W1261989048,"POLYGON ((-2.9562686 43.2559563, -2.9561834 43.2560778, -2.9561366 43.2560604, -2.9560616 43.2560325, -2.9561467 43.255911, -2.9562686 43.2559563))",43.255994395530166,-2.956165081353821,7.0,Basurtu-Zorrotza
building_4401,building_house,W1261989049,"POLYGON ((-2.9550901 43.2556167, -2.9551322 43.2557112, -2.9550346 43.2557354, -2.955021 43.2557018, -2.9550025 43.2556562, -2.9549914 43.2556288, -2.9550901 43.2556167))",43.25567351418037,-2.9550612841932287,7.0,Basurtu-Zorrotza
