name,building_type_name,osm_id,geometry,lat,lon
building_27,building_yes,W43976329,"POLYGON ((11.2830716 43.7773583, 11.2823724 43.7765764, 11.2828552 43.7763519, 11.2828788 43.7763409, 11.283154 43.7763548, 11.2831781 43.7763588, 11.2833371 43.7763854, 11.283602 43.7765158, 11.2836212 43.7765363, 11.2836279 43.7765435, 11.2836412 43.7765577, 11.2836698 43.776642, 11.2836931 43.7767945, 11.2836687 43.7769037, 11.2836528 43.7769872, 11.2836518 43.7770088, 11.2836499 43.7770495, 11.2835317 43.777114, 11.2835275 43.777148, 11.2830716 43.7773583))",43.77678391528772,11.283113445796008
building_28,building_yes,W48167669,"POLYGON ((11.2319351 43.7734578, 11.2319516 43.7733305, 11.232898 43.7734022, 11.2328797 43.7735243, 11.2319351 43.7734578))",43.77342844083672,11.232412933662985
building_29,building_yes,W48167686,"POLYGON ((11.2327894 43.7721378, 11.2327064 43.7721562, 11.2326769 43.7720843, 11.2327556 43.7720662, 11.2327894 43.7721378))",43.77211141017777,11.23273226376948
building_30,building_yes,W48167695,"POLYGON ((11.2327402 43.7733231, 11.232903 43.7733348, 11.2329601 43.772923, 11.2327979 43.7729113, 11.2327402 43.7733231))",43.77312317534743,11.232850281107472
building_31,building_yes,W48167708,"POLYGON ((11.2323565 43.7733005, 11.2325219 43.7733111, 11.2325728 43.7728991, 11.2324074 43.7728884, 11.2323565 43.7733005))",43.77309977224205,11.232464646995624
building_32,building_yes,W48167712,"POLYGON ((11.2312897 43.7732172, 11.2314513 43.7732288, 11.2315079 43.7728198, 11.2313463 43.7728081, 11.2312897 43.7732172))",43.773018471875105,11.231398797140209
building_33,building_yes,W48167713,"POLYGON ((11.2309054 43.7731887, 11.2310794 43.7731993, 11.2311384 43.7727905, 11.2309657 43.7727808, 11.2309054 43.7731887))",43.77299010531087,11.231022213199154
building_34,building_yes,W72905103,"POLYGON ((11.2616688 43.7837678, 11.2615946 43.7836892, 11.2616714 43.7836514, 11.2617337 43.7836207, 11.2618079 43.7836993, 11.2617352 43.7837351, 11.2616688 43.7837678))",43.78369425335305,11.261701252862368
building_35,building_yes,W72905104,"POLYGON ((11.261936 43.7842175, 11.2619031 43.7841689, 11.2620156 43.7841292, 11.2621454 43.7840835, 11.2621783 43.7841321, 11.2620505 43.7841771, 11.261936 43.7842175))",43.78415048144179,11.262040686991508
building_36,building_yes,W72905106,"POLYGON ((11.2683442 43.7664237, 11.2683301 43.7663354, 11.2684407 43.7663271, 11.268454 43.7664154, 11.2683442 43.7664237))",43.76637534766552,11.268392235613641
building_37,building_yes,W72905107,"POLYGON ((11.270824 43.7707957, 11.2708024 43.7707406, 11.2707805 43.770685, 11.270904 43.7706597, 11.2709263 43.7707163, 11.2709476 43.7707704, 11.270824 43.7707957))",43.77072770372937,11.270864043231192
building_38,building_yes,W72915036,"POLYGON ((11.2647854 43.7645508, 11.2647893 43.7644712, 11.2647924 43.7644092, 11.2648643 43.764411, 11.2649447 43.7644131, 11.2649415 43.7644772, 11.2649377 43.7645547, 11.2647854 43.7645508))",43.76448193918341,11.264865033770311
building_39,building_yes,W72915039,"POLYGON ((11.2399864 43.7780063, 11.2398992 43.777965, 11.2398185 43.777928, 11.2399095 43.7778329, 11.2399855 43.7778702, 11.2400777 43.7779088, 11.2399864 43.7780063))",43.77791960953318,11.239947858173075
building_40,building_yes,W72915046,"POLYGON ((11.2382376 43.7770644, 11.2381454 43.7770133, 11.2382069 43.7769554, 11.2382992 43.7770065, 11.2382376 43.7770644))",43.77700989927217,11.23822228312834
building_41,building_yes,W73028002,"POLYGON ((11.270874 43.7695575, 11.2709197 43.7689296, 11.2708924 43.7687952, 11.2709188 43.7687933, 11.2708876 43.7686533, 11.2708524 43.7686405, 11.2707845 43.7686458, 11.2707739 43.7686102, 11.2707095 43.7686154, 11.2707002 43.7685766, 11.2704433 43.7686067, 11.270466 43.7687241, 11.2704041 43.7687315, 11.2703744 43.7686125, 11.2703204 43.7685887, 11.2700998 43.7686862, 11.2701174 43.7687601, 11.2701376 43.7687592, 11.2701772 43.7689304, 11.270197 43.7689284, 11.2702354 43.7691091, 11.2705152 43.7695845, 11.2705842 43.7695867, 11.2706771 43.7695814, 11.270874 43.7695575))",43.76904389458668,11.270573479231382
building_42,building_yes,W73394194,"POLYGON ((11.2494324 43.7781042, 11.2494282 43.7780391, 11.2494266 43.7780157, 11.2496106 43.7779459, 11.2501956 43.7782616, 11.2501794 43.7782892, 11.2501769 43.7783053, 11.2501867 43.77832, 11.25024 43.7783487, 11.250212 43.7783887, 11.2501293 43.7785168, 11.2499742 43.7784587, 11.2499772 43.7784282, 11.2499822 43.7783785, 11.2499263 43.7783966, 11.2499229 43.7784021, 11.2499133 43.7784118, 11.2498932 43.7784165, 11.2498745 43.7784099, 11.2498341 43.778383, 11.2498319 43.7783703, 11.2498393 43.7783601, 11.2498532 43.7783491, 11.2498757 43.7783494, 11.2499156 43.7783726, 11.2499815 43.7783541, 11.249969 43.7783357, 11.2499504 43.7783173, 11.2496204 43.7781347, 11.2496064 43.7781802, 11.2496359 43.7781952, 11.2496508 43.7782065, 11.2496407 43.778222, 11.2496244 43.7782296, 11.2496006 43.7782294, 11.2495602 43.7782046, 11.2495571 43.7781872, 11.2495742 43.7781713, 11.2495933 43.7780923, 11.2494324 43.7781042))",43.77821246104051,11.249865344575177
building_43,building_yes,W81102722,"POLYGON ((11.2406168 43.7524817, 11.2404879 43.7526638, 11.2401555 43.7525409, 11.2402844 43.7523589, 11.2406168 43.7524817))",43.7525113320184,11.240386160246238
building_44,building_yes,W81102723,"POLYGON ((11.2459396 43.7482852, 11.2459919 43.7481831, 11.2469682 43.7484442, 11.2469159 43.7485463, 11.2459396 43.7482852))",43.748364699999996,11.246453899999999
building_45,building_yes,W81102730,"POLYGON ((11.2414746 43.7522312, 11.2412658 43.7523185, 11.2411211 43.7521378, 11.2412621 43.7520789, 11.2413373 43.7521729, 11.2414301 43.7521341, 11.2414862 43.7522041, 11.2414613 43.7522145, 11.2414746 43.7522312))",43.75219800516997,11.241298761077518
building_46,building_yes,W81102732,"POLYGON ((11.2430885 43.751036, 11.2430118 43.7510119, 11.2429201 43.7509831, 11.2428954 43.7510242, 11.2428212 43.7510008, 11.242687 43.7512236, 11.2429296 43.7512998, 11.2430885 43.751036))",43.75113668522675,11.242888604848527
building_47,building_yes,W81102734,"POLYGON ((11.2431412 43.7511141, 11.2431659 43.7510645, 11.2430885 43.751036, 11.2430118 43.7510119, 11.2430302 43.7509772, 11.2431649 43.7510224, 11.2432146 43.7510385, 11.243713 43.7512042, 11.2437915 43.751231, 11.2440633 43.7513299, 11.2444021 43.7516452, 11.2444087 43.7516515, 11.2443663 43.7516765, 11.244254 43.7517245, 11.243942 43.751431, 11.243995 43.7514055, 11.2431412 43.7511141))",43.75134617045385,11.24382275986557
building_48,building_yes,W81102735,"POLYGON ((11.2438384 43.7514595, 11.2436323 43.7513502, 11.2435383 43.7514426, 11.2437445 43.751552, 11.2438384 43.7514595))",43.751451082903124,11.243688375694076
building_49,building_yes,W81102737,"POLYGON ((11.244987 43.7519019, 11.2450254 43.7519365, 11.2449122 43.7520019, 11.2447868 43.7518887, 11.2448097 43.7518755, 11.24493 43.7518067, 11.2449514 43.7517943, 11.2450379 43.7518725, 11.244987 43.7519019))",43.751897370458074,11.24492109208531
